Buyer Name,Type,Industry,Count,Tot Value,Average Size,Minimum Size,Maximum Size,Average Premium,Minimum Premium,Maximum Premium
Four Corners Property Trust Inc,Strategic,REIT,83,840.446,10.1259,0.396,155.7,,0,0
MTY Food Group Inc,Strategic,Leisure Facilities & Services,51,1593.35,41.9301,0.0950823,299.142,24.9459,0,0
JFLA Holdings Inc,Strategic,Leisure Facilities & Services,47,294.085,8.91166,0.0225763,161.154,4.635,0,0
Starbucks Corp,Strategic,Leisure Facilities & Services,44,3362.88,152.858,1.5,1300,16.4814,0,0
Minor International PCL,Strategic,Leisure Facilities & Services,41,1344.87,37.3574,0.0250826,172.444,29.2937,0,0
Jollibee Foods Corp,Strategic,Leisure Facilities & Services,36,1562.92,52.0973,0.3,350,,0,0
Zensho Holdings Co Ltd,Strategic,Leisure Facilities & Services,34,1819.92,101.107,9.51663,625.093,12.0508,0,0
Colowide Co Ltd,Strategic,Leisure Facilities & Services,29,1157.72,64.318,0.790004,279.764,,0,0
Alsea SAB de CV,Strategic,Leisure Facilities & Services,28,1616.33,404.082,128.495,624.676,,0,0
Yum! Brands Inc,Strategic,Leisure Facilities & Services,28,2854.94,178.434,1.92987,670,18.41,0,0
KFC Holdings Malaysia Bhd,Strategic,Leisure Facilities & Services,27,125.459,8.96135,0.0144925,68.432,,0,0
Meritage Hospitality Group Inc,Strategic,Leisure Facilities & Services,24,,,,,,0,0
Carrols Restaurant Group Inc,Strategic,Leisure Facilities & Services,21,124.004,24.8009,2.6,66.6043,,0,0
Whitbread PLC,Strategic,Leisure Facilities & Services,21,7156.74,447.297,2.0736,4751.11,28.6964,0,0
Create Restaurants Holdings Inc,Strategic,Leisure Facilities & Services,21,609.552,46.8886,0.48396,144.143,5.69,0,0
Sonnet BioTherapeutics Holding,Strategic,Biotech & Pharma,21,178.24,22.28,0.56,106,,0,0
Pubs 'n' Bars PLC,Strategic,Leisure Facilities & Services,21,77.6561,4.08716,0.672546,19.4272,,0,0
Kozo Holdings Co Ltd,Strategic,Leisure Facilities & Services,21,95.7136,5.63021,6.45E-09,64.8198,24.53,0,0
Catterton Partners Corp,Strategic,Asset Management,20,5085.96,847.66,9.95,3318.78,,0,0
Roark Capital Group Inc,Strategic,Asset Management,20,11155.4,1859.23,30.25,9600,16.75,0,0
Greene King Ltd,Strategic,Leisure Facilities & Services,20,6150.84,307.542,3.34152,2413.65,28.8467,0,0
Landry's Inc,Strategic,Leisure Facilities & Services,19,1456.03,85.6488,7.6,295,34.7531,0,0
AmRest Holdings SE,Strategic,Leisure Facilities & Services,19,943.577,67.3984,2.30442,280.368,,0,0
DD GROUP Co Ltd,Strategic,Leisure Facilities & Services,18,74.6923,6.79021,0.11654,16.1748,,0,0
Foodtastic Inc,Strategic,Leisure Facilities & Services,18,37.0274,18.5137,10.9816,26.0458,129.31,0,0
Yakiniku Sakai Holdings Inc,Strategic,Leisure Facilities & Services,18,147.994,10.571,0.078438,43.8408,,0,0
Yoshinoya Holdings Co Ltd,Strategic,Leisure Facilities & Services,17,278.701,39.8145,3.3354,101.825,6.34232,0,0
Fuller Smith & Turner PLC,Strategic,Leisure Facilities & Services,17,369.203,28.4003,3.95712,144.08,,0,0
McDonald's Corp,Strategic,Leisure Facilities & Services,17,2062.12,343.686,0.594471,1800,13.93,0,0
Sun Capital Partners Inc,Strategic,Asset Management,16,757.354,151.471,60.1768,359,,0,0
Wendy's Co/The,Strategic,Leisure Facilities & Services,16,4453.89,318.135,0.002335,2861.75,11.785,0,0
Krispy Kreme Doughnuts Inc,Strategic,Leisure Facilities & Services,16,140.118,23.353,1.6,67,6.36,0,0
Royal Holdings Co Ltd,Strategic,Leisure Facilities & Services,16,284.483,40.6404,7.81062,142.104,8.64,0,0
Star Buffet Inc,Strategic,Leisure Facilities & Services,16,5.9,2.95,1.1,4.8,,0,0
Carlyle Group Inc/The,Strategic,Asset Management,16,4803.51,480.351,21,2080,33.6764,0,0
SMI Holdings Group Ltd,Strategic,Leisure Facilities & Services,16,246.828,17.6306,1.72259,159.562,,0,0
Marston's PLC,Strategic,Leisure Facilities & Services,15,2665.69,205.053,24.5618,603.4,24.08,0,0
ABR Holdings Ltd,Strategic,Leisure Facilities & Services,15,104.003,8.00025,0.318285,48.23,,0,0
Toridoll Holdings Corp,Strategic,Leisure Facilities & Services,15,423.769,141.256,70.3948,224.984,56.9748,0,0
Recipe Unlimited Corp,Strategic,Leisure Facilities & Services,15,727.19,103.884,10.8898,413.866,55.715,0,0
G Communication Co Ltd,Strategic,Leisure Facilities & Services,15,190.068,17.2789,1.34356,43.7091,,0,0
Autogrill SpA,Strategic,Commercial Support Services,14,1444.36,111.104,1.88532,1100.03,,0,0
Compass Group PLC,Strategic,Commercial Support Services,14,966.451,193.29,18.822,538.128,28.015,0,0
Kimly Ltd,Strategic,Leisure Facilities & Services,14,146.878,12.2399,0.007272,39.4832,,0,0
FAT Brands Inc,Strategic,Leisure Facilities & Services,14,980.5,108.944,10,442.5,,0,0
NoHo Partners Oyj,Strategic,Leisure Facilities & Services,14,157.85,22.5501,0.647,111.006,,0,0
China Agri-Products Exchange Ltd,Strategic,Real Estate Owners & Developers,14,301.961,21.5687,0.275909,66.0282,,0,0
EI Group Ltd,Strategic,Leisure Facilities & Services,13,6581.21,548.434,0.749965,2857.13,26.16,0,0
Famous Brands Ltd,Strategic,Food,13,163.908,40.9769,5.8962,124.128,,0,0
Domino's Pizza Enterprises Ltd,Strategic,Leisure Facilities & Services,13,464.877,58.1096,2.819,147.246,,0,0
Food Planet Inc,Strategic,Leisure Facilities & Services,13,36.4208,3.03506,0.00049325,25.7655,,0,0
Restaurant Brands International Inc,Strategic,Leisure Facilities & Services,13,17719,1771.9,14,12594.8,22.8411,0,0
Chipotle Mexican Grill Inc,Strategic,Leisure Facilities & Services,13,861.668,143.611,4,500,,0,0
Cloud Live Technology Group Co Ltd,Strategic,Leisure Facilities & Services,13,430.864,47.8737,3.16436,305.445,,0,0
Goldin Financial Holdings Ltd,Strategic,Asset Management,13,163.74,12.5954,0.347031,55.4614,,0,0
Admiral Taverns Rickmansworth Ltd,Strategic,Leisure Facilities & Services,13,2028.64,184.421,19.9804,652.815,,0,0
General Atlantic LP,Strategic,Asset Management,12,529.712,176.571,44,400,,0,0
Inspire Brands Inc,Strategic,Leisure Facilities & Services,12,14311.9,3577.98,15.9,11582.9,20.33,0,0
Punch Taverns Ltd,Strategic,Leisure Facilities & Services,12,8265.66,751.423,10.6744,4642.71,,0,0
TT Resources BHD,Strategic,Leisure Facilities & Services,12,0.794844,0.113549,0.0005264,0.536928,,0,0
Sequoia China Investment Management LLP,Strategic,Asset Management,12,1896.52,316.087,1.4923,980,,0,0
Business Growth Fund Ltd,Strategic,Asset Management,12,118.08,9.83999,2.5766,24.8786,,0,0
Stonegate PCL,Strategic,Leisure Facilities & Services,12,197.276,65.7586,17.286,129.947,16.0249,0,0
Shepherd Neame Ltd,Strategic,Leisure Facilities & Services,12,44.335,8.86699,0.64236,22.4683,,0,0
Elior Group SA,Strategic,Commercial Support Services,12,2.07904,2.07904,2.07904,2.07904,,0,0
Brentwood Associates Inc,Strategic,Asset Management,12,53,17.6667,11,22,,0,0
Collins Foods Ltd,Strategic,Leisure Facilities & Services,12,298.301,33.1446,1.68368,83.6087,,0,0
Retail Food Group Ltd,Strategic,Leisure Facilities & Services,11,447.979,55.9974,2.7,143.88,,0,0
Sakae Holdings Ltd,Strategic,Leisure Facilities & Services,11,19.6618,1.96618,0.00025774,8.08196,38.53,0,0
Hurxley Corp,Strategic,Leisure Facilities & Services,11,295.736,59.1471,1.6456,137.294,27.415,0,0
Jin Mi Fang Group Holdings Ltd,Strategic,Leisure Facilities & Services,11,5.43053,0.77579,1.28E-07,3.79861,,0,0
Zamp SA,Strategic,Leisure Facilities & Services,11,194.631,32.4386,0.79212,123.826,,0,0
Ultimate Franchise Systems Inc,Strategic,Leisure Facilities & Services,11,,,,,,0,0
Domino's Pizza Group PLC,Strategic,Leisure Facilities & Services,11,273.23,34.1538,5.2155,78.6168,,0,0
Autagco Ltd,Strategic,Leisure Facilities & Services,11,345.881,31.4437,0.000678991,212,,0,0
IDG Capital Investment Consultant Beijing Co Ltd,Strategic,Asset Management,11,1577.88,262.98,1.27956,980,,0,0
Sentinel Capital Partners LLC,Strategic,Asset Management,11,709.765,236.588,35,553.265,21.61,0,0
NPC International Inc,Strategic,Leisure Facilities & Services,11,264.05,29.3389,5.3,58.2,,0,0
Kulim Malaysia BHD,Strategic,Food,10,2245.73,224.573,2.85517,1759.96,15.3006,0,0
Gourmet Kineya Co Ltd,Strategic,Leisure Facilities & Services,10,1.24012,0.413372,0.244062,0.571948,,0,0
Darden Restaurants Inc,Strategic,Leisure Facilities & Services,10,4146.95,518.368,5.2,1361.01,40.6326,0,0
Advent International Corp,Strategic,Asset Management,10,100,100,100,100,,0,0
Panera Bread Co,Strategic,Leisure Facilities & Services,10,177.68,22.21,2.7,48,,0,0
Jubilant Foodworks Ltd,Strategic,Leisure Facilities & Services,10,169.48,21.1849,1.3545,82.1535,37.931,0,0
Borneo Oil Bhd,Strategic,Leisure Facilities & Services,10,21.4832,3.58054,0.0041085,9,,0,0
Restaurant Group PLC/The,Strategic,Leisure Facilities & Services,10,1163,145.375,4,710.545,9.1,0,0
Food Delivery Brands SA,Strategic,Leisure Facilities & Services,10,68.2909,9.75584,1.42684,42.3306,,0,0
Blackstone Inc,Strategic,Asset Management,10,5694.89,1138.98,183.027,4193.96,14.32,0,0
International Meal Co Alimentacao SA,Strategic,Leisure Facilities & Services,10,171.761,24.5373,2.81837,65.4188,,0,0
SRS Holdings Co Ltd,Strategic,Leisure Facilities & Services,10,116.206,16.6009,0.00916991,41.4115,,0,0
United Foodbrands Ltd,Strategic,Leisure Facilities & Services,10,5.51245,1.10249,0.00213591,2.27464,,0,0
Dining Street Ltd,Strategic,Leisure Facilities & Services,9,20.7468,3.4578,0.95466,10.8375,,0,0
TPG Capital LP/US,Strategic,Asset Management,9,6821.14,1705.28,461.398,4193.96,,0,0
Doyen International Holdings Ltd,Strategic,Specialty Finance,9,145.791,18.2238,0.0030189,76.9945,,0,0
KarpReilly LLC,Strategic,Asset Management,9,37,18.5,12,25,,0,0
Papa John's International Inc,Strategic,Leisure Facilities & Services,9,56,18.6667,5.1,32.5,,0,0
Organic To Go Food Corp,Strategic,Leisure Facilities & Services,9,7.60755,2.53585,1.7,3.75655,,0,0
CVC Advisers Ltd,Strategic,Asset Management,9,12479.4,2079.91,43.3976,4648.7,15.82,0,0
Ichibanya Co Ltd,Strategic,Leisure Facilities & Services,9,6.85855,3.42927,2.955,3.90355,,0,0
Navis Capital Partners Ltd,Strategic,Asset Management,9,187.442,37.4885,15,75,,0,0
Peak XV Partners Advisors India LLP,Strategic,Asset Management,9,350.905,38.9894,0.486736,125,,0,0
Capital Pub Co PLC/The,Strategic,Leisure Facilities & Services,9,27.4873,3.43591,0.44562,11.2228,,0,0
Happy Belly Food Group Inc,Strategic,Food,9,0.923904,0.461952,0.3,0.623904,,0,0
Flynn Restaurant Group LP,Strategic,Leisure Facilities & Services,9,816,816,816,816,,0,0
Tiger Global Management LLC,Strategic,Asset Management,9,266.3,29.5889,2,70,,0,0
kaihan Co Ltd,Strategic,Leisure Facilities & Services,9,32.1153,4.58789,0.312228,21.6325,,0,0
Gafrus Ltd,Strategic,Leisure Facilities & Services,9,66.5394,22.1798,6.3865,49.1914,,0,0
Good Spirits Hospitality Ltd,Strategic,Leisure Facilities & Services,9,283.22,40.46,0.1554,200,,0,0
Red Robin Gourmet Burgers Inc,Strategic,Leisure Facilities & Services,9,161.7,23.1,2.3,47.5,,0,0
BBQ Holdings Inc,Strategic,Leisure Facilities & Services,9,43.512,10.878,4.212,28,,0,0
DPG Holdings Inc,Strategic,Leisure Facilities & Services,9,8.4899,1.06124,0.165631,2.73423,,0,0
WATAMI Co Ltd,Strategic,Leisure Facilities & Services,9,109.874,18.3124,0.020992,68.3181,,0,0
Revolution LLC,Strategic,Asset Management,9,807.5,89.7222,18.5,272,,0,0
Temasek Holdings Pte Ltd,Strategic,Asset Management,9,1827.51,228.439,0.7458,777.9,,0,0
CreoSG Co Ltd,Strategic,Software,9,104.781,11.6424,4.97553,31.8946,18.8249,0,0
Biglari Holdings Inc,Strategic,Leisure Facilities & Services,9,461.593,92.3187,16.082,299.5,,0,0
U-Swirl Inc,Strategic,Leisure Facilities & Services,8,10.5481,2.63702,0.216,7.477,,0,0
Net-a-Go Technology Co Ltd,Strategic,Commercial Support Services,8,57.4576,9.57627,0.808335,21.0542,,0,0
Ruth's Hospitality Group Inc,Strategic,Leisure Facilities & Services,8,239.524,34.2177,2.8,94,,0,0
JAB Holding Co Sarl,Strategic,Asset Management,8,14990.9,2998.18,306.096,7476.88,31.9703,0,0
Spur Corp Ltd,Strategic,Leisure Facilities & Services,8,29.1657,7.29142,3.32748,18.3948,,0,0
Young & Co's Brewery PLC,Strategic,Beverages,8,424.32,70.7201,16.7398,212.306,,0,0
Sichuan Xinghui Restaurant Management Co Ltd,Strategic,Leisure Facilities & Services,8,445.431,74.2385,7.42184,172.992,,0,0
Negen Capital Services Pvt Ltd,Strategic,Asset Management,8,33.159,4.14487,2,8.8683,,0,0
Goldman Sachs Group Inc/The,Strategic,Institutional Financial Svcs,8,646.577,107.763,7.97663,453.6,,0,0
Bruckmann Rosser Sherrill & Co LLC,Strategic,Asset Management,8,1241.16,248.233,73,486,17.355,0,0
UMENOHANA GROUP CO LTD,Strategic,Leisure Facilities & Services,8,37.7982,6.29969,0.449364,22.0248,,0,0
TDR Capital LLP,Strategic,Asset Management,8,1853.59,370.717,63.805,579.381,17.62,0,0
Fairfax Financial Holdings Ltd,Strategic,Insurance,8,1846.16,461.54,7.1144,1692.29,5.08144,0,0
Fazer Group,Strategic,Food,8,35.1255,17.5628,17.376,17.7495,,0,0
Trailhead Global Holdings Inc,Strategic,Leisure Facilities & Services,8,11.8441,2.36882,0.162954,10.572,,0,0
Oak Management Corp/California,Strategic,Asset Management,8,154.295,22.0421,9.95,58.6161,,0,0
Green House Foods Co Ltd,Strategic,Leisure Facilities & Services,8,29.2225,14.6113,9.27651,19.946,9.905,0,0
Castle Harlan Inc,Strategic,Asset Management,8,1287.25,214.542,50.4,360,70.17,0,0
Van Houtte Inc,Strategic,Beverages,8,,,,,,0,0
Prime Being Corp,Strategic,Food,8,89.544,17.9088,2.45456,58.5245,,0,0
Einstein Noah Restaurant Group Inc,Strategic,Leisure Facilities & Services,8,211.4,52.85,0.4,190,,0,0
VIA Holdings Inc,Strategic,Leisure Facilities & Services,8,60.4637,8.63767,8.58E-06,31.229,,0,0
Asahi Group Holdings Ltd,Strategic,Beverages,8,411.232,58.7474,4.8829,329.4,3.40415,0,0
Kappa Create Co Ltd,Strategic,Leisure Facilities & Services,7,22.7681,3.79468,6.99E-09,11.9759,5.61,0,0
Applebee's International Inc,Strategic,Leisure Facilities & Services,7,264.74,44.1233,13.4,93.4,,0,0
Advantage Partners LLP,Strategic,Asset Management,7,605.432,151.358,18.1413,510.159,12.72,0,0
Brinker International Inc,Strategic,Leisure Facilities & Services,7,205.494,51.3735,3.094,93,130,0,0
Argonne Capital Group LLC,Strategic,Asset Management,7,,,,,,0,0
Maveron LLC,Strategic,Asset Management,7,169.845,24.2636,14.945,58.6161,,0,0
Kanmonkai Co Ltd,Strategic,Leisure Facilities & Services,7,7.56578,1.26096,0.00857055,3.33468,,0,0
J-Group Holdings,Strategic,Leisure Facilities & Services,7,9.07945,4.53972,3.2166,5.86285,,0,0
Fortress Investment Group LLC,Strategic,Asset Management,7,834.839,278.28,93,632.525,6.05319,0,0
East Ventures,Strategic,Asset Management,7,33.668,8.417,1.3,20,,0,0
Premium Bars and Restaurants PLC,Strategic,Leisure Facilities & Services,7,92.842,15.4737,2.06822,55.9132,,0,0
Alpha JWC Ventures,Strategic,Asset Management,7,253.4,36.2,2,109,,0,0
American Restaurant Holdings Inc,Strategic,Leisure Facilities & Services,7,0.518509,0.518509,0.518509,0.518509,,0,0
Central Plaza Hotel PCL,Strategic,Leisure Facilities & Services,7,16.7109,3.34218,0.556578,7.17255,,0,0
Haidilao International Holding Ltd,Strategic,Leisure Facilities & Services,7,41.3231,8.26463,0.662635,17.5368,,0,0
Restaurant Brands New Zealand Ltd,Strategic,Leisure Facilities & Services,7,182.875,36.575,6,80.7,,0,0
Chikaranomoto Holdings Co Ltd,Strategic,Leisure Facilities & Services,7,2.35457,1.17729,0.25,2.10457,,0,0
Ningbo Tomato Private Equity Fund Management Co Ltd,Strategic,Asset Management,7,107.555,35.8517,14.3,77.255,,0,0
Golden Gate Capital LP,Strategic,Asset Management,7,5603.8,933.966,131.5,2100,,0,0
Hotland Holdings Co Ltd,Strategic,Leisure Facilities & Services,7,152.035,76.0174,4.18472,147.85,,0,0
Fertitta Entertainment Inc,Strategic,Leisure Facilities & Services,7,306,76.5,40,176,,0,0
Mitchells & Butlers PLC,Strategic,Leisure Facilities & Services,7,1411.46,352.864,19.068,910.077,,0,0
Bain Capital Private Equity LP,Strategic,Asset Management,7,8277.74,2069.44,67.9415,3390.12,,0,0
Popeyes Louisiana Kitchen Inc,Strategic,Leisure Facilities & Services,7,183.3,45.825,13.8,64,,0,0
Kitchen Ventures LLC,Strategic,Asset Management,7,77,38.5,12,65,,0,0
Sanko Marketing Foods Co Ltd,Strategic,Leisure Facilities & Services,7,0.56708,0.28354,0.18831,0.37877,,0,0
Skylark Co Ltd/Old,Strategic,Leisure Facilities & Services,7,492.599,70.3713,2.7408,194.539,9.1125,0,0
ICH Corp,Strategic,Leisure Facilities & Services,7,97.45,13.9214,1.75,37.8,,0,0
Unison Capital Inc,Strategic,Asset Management,7,245.964,61.4909,27.195,83.8948,34.21,0,0
M Capital Partners SASU,Strategic,Asset Management,7,12.7615,3.19037,1.99764,6.12306,,0,0
Coatue Management LLC,Strategic,Asset Management,7,920,153.333,20,500,,0,0
Big Idea Ventures LLC,Strategic,Asset Management,7,9.4,2.35,0.2,4,,0,0
Qatar Investment Authority,Strategic,Asset Management,6,600,150,25,200,,0,0
LOTTEGRS Co Ltd,Strategic,Leisure Facilities & Services,6,596.698,198.899,4.92519,574.548,,0,0
TriSpan LLP,Strategic,Asset Management,6,,,,,,0,0
Apollo Global Management Inc,Strategic,Asset Management,6,4350.98,2175.49,1321.11,3029.87,36.4173,0,0
Caffe Nero Group Holdings Ltd,Strategic,Leisure Facilities & Services,6,9.52,4.76,4.76,4.76,,0,0
Y Combinator Inc,Strategic,Asset Management,6,45.6,7.6,2.6,18,,0,0
Primior Holdings Inc,Strategic,Leisure Facilities & Services,6,30.5,15.25,0.5,30,,0,0
Wendy's International LLC,Strategic,Leisure Facilities & Services,6,416.22,104.055,12,278.12,,0,0
Dine Brands Global Inc,Strategic,Leisure Facilities & Services,6,2186.7,546.674,17.8,2067.3,3.15,0,0
Kichiri Holdings & Co Ltd,Strategic,Leisure Facilities & Services,6,18.2169,3.03616,0.0901551,17.1199,,0,0
Food & Drink Group PLC/The,Strategic,Leisure Facilities & Services,6,54.083,9.01384,1.31468,22.1474,27.76,0,0
Liberation Group Ltd/The,Strategic,Leisure Facilities & Services,6,,,,,,0,0
Old English Inns PLC,Strategic,Leisure Facilities & Services,6,113.181,18.8635,6.7852,41.0034,,0,0
Bon Appetit Group AG,Strategic,Leisure Facilities & Services,6,215.45,215.45,215.45,215.45,28.45,0,0
BreadTalk Group Ltd,Strategic,Food,6,98.7763,16.4627,1.24323,57.624,32.74,0,0
500 Startups Management Co LLC,Strategic,Asset Management,6,0.500128,0.166709,0.1,0.3,,0,0
Shinmei Holdings Co Ltd,Strategic,Food,6,488.621,97.7241,11.6228,337.155,1.21047,0,0
Valor Equity Management LLC,Strategic,Asset Management,6,48,12,6.5,23,,0,0
Sadot Group Inc,Strategic,Wholesale - Consumer Staples,6,,,,,,0,0
Prime Road Power PCL,Strategic,Electric Utilities,6,16.0072,3.20144,0.0070121,8.5,,0,0
WDI Corp,Strategic,Leisure Facilities & Services,6,51.8398,10.368,1,19.3111,,0,0
Kahala Corp,Strategic,Leisure Facilities & Services,6,,,,,,0,0
Bridgepoint Advisers Ltd,Strategic,Asset Management,6,1362.83,454.276,293.316,678.512,,0,0
GGV Capital LLC,Strategic,Asset Management,6,182.772,36.5544,1.27956,100,,0,0
Regent Inns PLC,Strategic,Leisure Facilities & Services,6,63.3319,15.833,0.812105,49.127,,0,0
Oak Hill Capital Partners LP,Strategic,Asset Management,6,1115,371.667,20,570,,0,0
Benihana Inc,Strategic,Leisure Facilities & Services,6,49.275,9.855,2.8,20,1.36E-19,0,0
Hillhouse Investment Management Ltd,Strategic,Asset Management,6,1184.2,394.733,309.2,500,,0,0
Buffalo Wild Wings Inc,Strategic,Leisure Facilities & Services,6,184.2,61.4,1.2,160,,0,0
GIC Pte Ltd,Strategic,Asset Management,6,2249.99,749.996,167.886,1102.1,,0,0
Sonic Corp,Strategic,Leisure Facilities & Services,6,,,,,,0,0
Dingyi Group Investment Ltd,Strategic,Real Estate Owners & Developers,6,316.551,52.7586,0.64475,179.795,126.22,0,0
Good Times Restaurants Inc,Strategic,Leisure Facilities & Services,6,26.75,8.91667,1.35,21,,0,0
Metaplanet Inc,Strategic,Asset Management,6,4.55936,1.13984,9.83E-05,2.94382,,0,0
Centerbridge Partners LP,Strategic,Asset Management,6,1264.71,632.357,100,1164.71,29.8194,0,0
Cafe de Coral Holdings Ltd,Strategic,Leisure Facilities & Services,6,67.9635,13.5927,4.89281,27.9344,,0,0
First Watch Restaurant Group Inc,Strategic,Leisure Facilities & Services,6,150,75,75,75,,0,0
SFI Group PLC,Strategic,Leisure Facilities & Services,6,85.2223,17.0445,0.16598,46.6329,41.02,0,0
City Pub Group PLC/The,Strategic,Leisure Facilities & Services,6,29.6531,4.94219,0.399564,10.6426,,0,0
Chaswood Resources Holdings Ltd,Strategic,Leisure Facilities & Services,6,317.635,105.878,3.52837,249.809,,0,0
Craveworthy Brands,Strategic,Leisure Facilities & Services,6,,,,,,0,0
Unique Global Innovative Solut,Strategic,Leisure Facilities & Services,6,,,,,,0,0
Johor Corp,Strategic,Leisure Facilities & Services,6,2433.92,486.783,2.79422,1023.08,20.2933,0,0
Ayamas Food Corp BHD,Strategic,Food,6,30.347,15.1735,0.07896,30.268,,0,0
Future Bright Holdings Ltd,Strategic,Leisure Facilities & Services,6,50.754,8.45899,0.421542,33.867,,0,0
Fujio Food Group Inc,Strategic,Leisure Facilities & Services,6,24.3709,24.3709,24.3709,24.3709,,0,0
Tencent Holdings Ltd,Strategic,Internet Media & Services,6,1480,740,500,980,,0,0
Hargett Hunter Capital Partners LLC,Strategic,Asset Management,6,,,,,,0,0
Monogram Capital Partners LLC,Strategic,Asset Management,6,120,30,10,65,,0,0
China Energy Development Holdings Ltd,Strategic,Leisure Facilities & Services,6,2058.49,343.082,1.2832,1289.5,,0,0
Cooks Coffee Co Ltd,Strategic,Leisure Facilities & Services,6,32.0087,6.40173,0.202657,12.4716,,0,0
Diversified Restaurant Holdings Inc,Strategic,Leisure Facilities & Services,5,97.5,19.5,3.1,54,,0,0
Luxe Holdings Ltd,Strategic,Retail - Discretionary,5,29.2525,7.31312,1.51365,11.7635,,0,0
Avado Brands Inc,Strategic,Leisure Facilities & Services,5,368.703,73.7407,17,199.703,14.495,0,0
Arcland Service Holdings Co Ltd,Strategic,Leisure Facilities & Services,5,1.47,1.47,1.47,1.47,,0,0
Goode Partners LLC,Strategic,Asset Management,5,,,,,,0,0
ST Group Food Industries Holdings Ltd,Strategic,Leisure Facilities & Services,5,1.34765,0.449218,0.010827,1.00578,,0,0
Berjaya Food Bhd,Strategic,Leisure Facilities & Services,5,126.167,25.2333,3.72162,88,,0,0
Cock Inoventure KK,Strategic,Commercial Support Services,5,123.724,24.7447,14.9728,32.082,,0,0
Mercato Partners LLC,Strategic,Asset Management,5,20,20,20,20,,0,0
Whitson's Food Service Corp,Strategic,Leisure Facilities & Services,5,,,,,,0,0
V Group Inc,Strategic,Leisure Facilities & Services,5,12.6034,6.30172,0.103437,12.5,,0,0
Trustreet Properties Inc,Strategic,REIT,5,318.234,63.6468,6.5,137.5,,0,0
Graphite Capital Management LLP,Strategic,Asset Management,5,114.027,38.0091,7.71885,72.32,,0,0
Mitsubishi UFJ Capital Co Ltd,Strategic,Asset Management,5,43.7355,8.7471,2.576,17.1199,,0,0
Harry Ramsden's Ltd,Strategic,Leisure Facilities & Services,5,6.86905,1.37381,0.0568855,2.44214,1.36E-19,0,0
HSBC Holdings PLC,Strategic,Banking,5,25.716,12.858,5.71596,20,,0,0
Inn Business Group PLC,Strategic,Leisure Facilities & Services,5,44.7774,8.95548,0.65476,30.2373,,0,0
BurgerFi International Inc,Strategic,Leisure Facilities & Services,5,278.515,139.257,121.915,156.6,,0,0
S&P Syndicate PCL,Strategic,Leisure Facilities & Services,5,4.16163,1.04041,0.14637,3.4884,,0,0
Atomic Eagle Ltd,Strategic,Real Estate Owners & Developers,5,31.4956,7.8739,2.20192,19.2478,,0,0
Waitr Holdings Inc,Strategic,Internet Media & Services,5,5679.71,1893.24,308,5049.34,,0,0
ITOCHU Corp,Strategic,Wholesale - Consumer Staples,5,131.312,43.7707,6.88545,105.718,9.17,0,0
Max's Group Inc,Strategic,Leisure Facilities & Services,5,118.666,29.6666,2.86528,92.8578,,0,0
Sodexo SA,Strategic,Commercial Support Services,5,100,100,100,100,,0,0
PizzaExpress Ltd,Strategic,Leisure Facilities & Services,5,201.502,40.3003,2.77992,181.776,21.5,0,0
Focus Dynamics Group Bhd,Strategic,Leisure Facilities & Services,5,13.8252,2.76504,0.51334,9.11625,,0,0
High Bluff Capital Partners LLC,Strategic,Asset Management,5,,,,,,0,0
Ibersol SGPS SA,Strategic,Leisure Facilities & Services,5,958.723,319.574,36.4588,799.537,7.59,0,0
AKA KK,Strategic,Leisure Facilities & Services,5,182.268,60.756,0.756647,174.251,82.845,0,0
Piper Private Equity Ltd,Strategic,Asset Management,5,69.3896,13.8779,9.2112,25.3648,,0,0
DBUB Group Inc,Strategic,Leisure Facilities & Services,5,44.6215,11.1554,2.8064,17.5416,,0,0
Harvest Capital Co Ltd,Strategic,Asset Management,5,241.714,48.3428,14.346,71.785,,0,0
CX Advisors LLP,Strategic,Asset Management,5,153.273,51.0909,16.6984,100,,0,0
Yum China Holdings Inc,Strategic,Leisure Facilities & Services,5,302.852,75.713,19.4709,149,,0,0
Old Claimco LLC,Strategic,Leisure Facilities & Services,5,19,19,19,19,,0,0
Nomura Holdings Inc,Strategic,Institutional Financial Svcs,5,4766.91,953.382,325.012,3167.13,8.365,0,0
Y's Table Corp,Strategic,Leisure Facilities & Services,5,13.9976,3.49939,1.82388,6.7415,,0,0
Morgan's Foods Inc,Strategic,Leisure Facilities & Services,5,,,,,,0,0
ARC Group Inc,Strategic,Leisure Facilities & Services,5,22.6246,7.54153,0.6,18,,0,0
Moevenpick Holding AG,Strategic,Leisure Facilities & Services,5,,,,,,0,0
AccelFoods LLC,Strategic,Asset Management,5,45,15,7,28,,0,0
Rex Holdings Co Ltd,Strategic,Leisure Facilities & Services,5,250.724,62.681,4.7532,158.038,,0,0
Why How Do Co Inc/The,Strategic,Software,5,9.07859,1.81572,6.28E-09,4.6832,,0,0
Daisyo Corp,Strategic,Leisure Facilities & Services,5,48.6884,12.1721,3.6484,32.7956,,0,0
Kobe Bussan Co Ltd,Strategic,Retail - Consumer Staples,5,32.1531,8.03828,0.0711034,12.8328,,0,0
ONE Group Hospitality Inc/The,Strategic,Leisure Facilities & Services,5,466,155.333,25,365,,0,0
Amiyaki Tei Co Ltd,Strategic,Leisure Facilities & Services,5,9.76285,9.76285,9.76285,9.76285,,0,0
