group,before_deal,after_deal,deal_year,total,pct_new_after_deal
Bluestone Lane,0,14,2019,14,100
Dig / Dig Inn,0,20,2021,20,100
Milk Bar,0,7,2017,7,100
Rosa Mexicano,0,3,2018,3,100
Tacombi,0,11,2021,11,100
Maman,1,25,2020,26,96
Sant Ambroeus / Felice / Casa Lever,1,16,2020,17,94
Dos Toros,2,19,2020,21,90
Naya,3,26,2020,29,90
Chip City,2,17,2022,19,89
Chopt,1,3,2020,4,75
Momofuku,1,3,2016,4,75
Joe & the Juice,11,21,2023,32,66
