CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,DBA_UPPER,Restaurant Group,Investor
50143517,CHIP CITY,Bronx,200,BAYCHESTER AVENUE,10475.0,Other,CHIP CITY,Chip City,Enlightened Hospitality Investments (EHI)
50118083,CHIP CITY,Queens,72-34,AUSTIN STREET,11375.0,Bakery Products/Desserts,CHIP CITY,Chip City,Enlightened Hospitality Investments (EHI)
50119747,CHIP CITY,Queens,23-96,BELL BOULEVARD,11360.0,Bakery Products/Desserts,CHIP CITY,Chip City,Enlightened Hospitality Investments (EHI)
41692608,SWEET CHICK,Brooklyn,164,BEDFORD AVENUE,11249.0,American,SWEET CHICK,Sweet Chick,L Catterton (indirect via Founders Table)
50127602,SWEET CHICK,Manhattan,32,EAST   16 STREET,10003.0,American,SWEET CHICK,Sweet Chick,L Catterton (indirect via Founders Table)
50011694,SWEET CHICK,Manhattan,178,LUDLOW STREET,10002.0,Chicken,SWEET CHICK,Sweet Chick,L Catterton (indirect via Founders Table)
50075224,SWEET CHICK,Queens,46-42,VERNON BOULEVARD,11101.0,American,SWEET CHICK,Sweet Chick,L Catterton (indirect via Founders Table)
50066349,SWEET CHICK,Brooklyn,636,CARLTON AVENUE,11238.0,American,SWEET CHICK,Sweet Chick,L Catterton (indirect via Founders Table)
50044717,FUKU - FA6090,Manhattan,4,PENN PLAZA,10121.0,Hotdogs/Pretzels,FUKU - FA6090,Fuku,RSE Ventures (via Momofuku)
50088840,FUKU,Manhattan,20,HUDSON YARDS,10001.0,Chicken,FUKU,Fuku,RSE Ventures (via Momofuku)
41688146,FUKU,Brooklyn,620,ATLANTIC AVENUE,11217.0,American,FUKU,Fuku,RSE Ventures (via Momofuku)
